Hyperparameter, Importance, Correlation
Batch Size,0.474,0.599
Learning Rate,0.236,-0.403
L1 Reg,0.018,0.054
L2 Reg,0.021,0.027
Smooth,0.039,-0.26
Optimizer Adam,0.048,-0.311
Optimizer SDG,0.061,0.311
