Regret,Relative Regret,Accuracy,Optimal
11.2,0.6666666969420432,0.875,False
3.4,0.07218683885665339,0.8402777777777778,False
4.9,0.14454276635531688,0.9027777777777778,False
1.2,0.09374999860301615,0.9305555555555556,False
24.4,0.3128205128205128,0.8055555555555556,False
10.0,0.37037037037037035,0.8333333333333334,False
2.9,0.16384180084738,0.9444444444444444,False
-0.0,-0.0,1.0,True
2.5,0.13812154405032112,0.9027777777777778,False
-0.0,-0.0,0.9722222222222222,True
3.3,0.08418367183094273,0.8194444444444444,False
3.7,0.30833333333333335,0.9513888888888888,False
1.6,0.13793102994685238,0.9166666666666666,False
17.6,1.1578947513717697,0.9027777777777778,False
6.9,0.1100478455508797,0.9166666666666666,False
26.0,1.3,0.8541666666666666,False
-0.0,-0.0,0.9305555555555556,True
13.2,0.6567164054468941,0.875,False
9.2,0.5897435753224795,0.8958333333333334,False
2.1,0.09459459134369613,0.8819444444444444,False
13.0,0.4529616604326717,0.8333333333333334,False
0.0,0.0,0.8958333333333334,True
0.0,0.0,0.9444444444444444,True
5.4,0.23275861303531342,0.7847222222222222,False
33.3,2.08125,0.8263888888888888,False
11.5,0.4243542375690666,0.8333333333333334,False
5.8,0.25217391304347825,0.9444444444444444,False
11.9,0.4666666666666667,0.9027777777777778,False
1.2,0.02434077116775932,0.9444444444444444,False
2.5,0.052083333333333336,0.9375,False
9.5,0.48223348386218523,0.8819444444444444,False
13.6,0.24727272727272726,0.8541666666666666,False
7.6,0.4393063777551542,0.8958333333333334,False
2.9,0.09415584648815617,0.9166666666666666,False
7.4,0.5285714285714286,0.9583333333333334,False
26.1,1.6730768821648603,0.8402777777777778,False
4.5,0.08604206626472059,0.9305555555555556,False
13.6,0.31775701501003184,0.9027777777777778,False
1.6,0.0632411086264481,0.8819444444444444,False
9.0,0.20833332965403434,0.9305555555555556,False
18.9,0.6428571511983177,0.8402777777777778,False
0.8,0.017543860236179962,0.8611111111111112,False
16.4,0.7961164901119252,0.9305555555555556,False
8.7,0.5723684282349087,0.8472222222222222,False
6.5,0.28888888888888886,0.8888888888888888,False
7.8,0.11538461798909697,0.875,False
48.0,1.83908043289067,0.8263888888888888,False
0.4,0.026315789803903856,0.9722222222222222,False
11.1,0.25517241379310346,0.8958333333333334,False
23.0,1.2432432432432432,0.8472222222222222,False
9.8,0.593939393939394,0.8472222222222222,False
1.6,0.03669724899072381,0.8819444444444444,False
14.8,0.3814433064695399,0.9305555555555556,False
16.6,1.1216216071667335,0.8333333333333334,False
12.7,0.8819444678079941,0.8333333333333334,False
9.4,0.11463414634146342,0.9513888888888888,False
11.1,0.8161764476951024,0.8680555555555556,False
-0.0,-0.0,0.8819444444444444,True
6.9,0.2584269589077108,0.8819444444444444,False
6.9,0.47916667936024876,0.9236111111111112,False
7.0,0.39772726410676645,0.8263888888888888,False
14.4,0.35820894842557865,0.9444444444444444,False
3.7,0.30833333333333335,0.9236111111111112,False
15.1,0.9679486942792869,0.8333333333333334,False
6.1,0.4919354990047177,0.8888888888888888,False
9.8,0.27920229133985436,0.9027777777777778,False
14.5,0.39509535963395537,0.8541666666666666,False
34.4,0.999999955643057,0.8263888888888888,False
4.1,0.11918604122489923,0.9166666666666666,False
4.5,0.32142857142857145,0.875,False
5.3,0.21991700896715013,0.8402777777777778,False
16.9,0.5728813559322034,0.8125,False
7.0,0.5303030379657029,0.8819444444444444,False
0.0,0.0,1.0,True
13.6,0.894736853332731,0.8194444444444444,False
9.6,0.48,0.875,False
15.6,0.4041450936962817,0.9375,False
5.3,0.12268518301848688,0.8958333333333334,False
5.7,0.20802919997652708,0.9375,False
11.9,0.35522388059701493,0.8888888888888888,False
8.7,0.2101449197909251,0.8472222222222222,False
6.8,0.16666666978324945,0.9305555555555556,False
26.0,1.1353711979523904,0.8819444444444444,False
3.7,0.12671232545637562,0.9791666666666666,False
3.7,0.23566879267199078,0.9513888888888888,False
14.4,0.5236363636363637,0.8680555555555556,False
7.4,0.14095238095238097,0.8472222222222222,False
6.6,0.4714285714285714,0.8888888888888888,False
8.0,0.6451613101701217,0.9236111111111112,False
7.6,0.22287391026623454,0.8611111111111112,False
13.7,0.4041297753199675,0.9027777777777778,False
30.6,2.185714285714286,0.8402777777777778,False
6.1,0.38125,0.8541666666666666,False
12.8,0.39506170978961946,0.9166666666666666,False
17.2,0.86,0.8125,False
14.4,0.48000000000000004,0.8819444444444444,False
23.7,1.1617647276067682,0.8055555555555556,False
6.5,0.4276315843134376,0.875,False
6.4,0.4444444562182018,0.8611111111111112,False
19.5,1.4772727486187436,0.8541666666666666,False
7.4,0.23270440809872245,0.8611111111111112,False
0.4,0.012383901221305475,0.8680555555555556,False
8.4,0.42857142023025396,0.9027777777777778,False
13.1,0.7797619401732826,0.8541666666666666,False
5.6,0.09807355778718692,0.9375,False
6.6,0.20245399720614365,0.875,False
6.0,0.15,0.8402777777777778,False
12.4,0.7560975785627034,0.8472222222222222,False
8.1,0.21259843371127204,0.8472222222222222,False
0.4,0.007352940970226149,0.9444444444444444,False
17.1,1.0178571890811552,0.8194444444444444,False
16.0,0.9090908893868948,0.8541666666666666,False
1.7,0.025297620196461458,0.875,False
20.7,1.0147059013274304,0.8055555555555556,False
6.1,0.18885449362490847,0.9236111111111112,False
8.4,0.3716814096555219,0.8680555555555556,False
7.6,0.35185184563792465,0.9097222222222222,False
4.5,0.08571428571428572,0.8402777777777778,False
4.1,0.10962566397659121,0.8819444444444444,False
4.1,0.2770270234568438,0.8541666666666666,False
