Regret,Relative Regret,Accuracy,Optimal
2.0,0.11904762445393628,0.9305555555555556,False
14.3,0.3036093516618069,0.9097222222222222,False
2.0,0.05899704749196607,0.9444444444444444,False
6.0,0.4687499930150808,0.875,False
10.0,0.1282051282051282,0.7847222222222222,False
42.4,1.5703703703703704,0.9027777777777778,False
21.9,1.2372880822612489,0.8194444444444444,False
1.2,0.02166064922289661,0.8958333333333334,False
8.9,0.4917126968191432,0.8680555555555556,False
1.6,0.033057850197473634,0.9097222222222222,False
2.4,0.06122448860432199,0.8125,False
1.6,0.13333333333333333,0.9583333333333334,False
2.4,0.20689654492027856,0.9444444444444444,False
5.2,0.3421052674507501,0.8819444444444444,False
4.0,0.0637958524932636,0.8888888888888888,False
10.8,0.54,0.9305555555555556,False
8.9,0.28075709103467944,0.9027777777777778,False
4.8,0.23880596561705242,0.9375,False
9.6,0.6153846003365003,0.9097222222222222,False
11.8,0.5315315132645784,0.9513888888888888,False
18.8,0.6550522473949407,0.8958333333333334,False
4.5,0.0986842138285123,0.9444444444444444,False
1.2,0.03030303147067567,0.9652777777777778,False
2.4,0.10344827246013928,0.8888888888888888,False
16.9,1.05625,0.8819444444444444,False
5.7,0.21033210036032,0.9166666666666666,False
6.1,0.2652173913043478,0.9027777777777778,False
10.6,0.4156862745098039,0.9861111111111112,False
0.0,0.0,0.9722222222222222,True
14.6,0.30416666666666664,0.8055555555555556,False
13.4,0.6802030193424508,0.9166666666666666,False
3.2,0.05818181818181818,0.8819444444444444,False
1.6,0.09248555321161142,0.8819444444444444,False
4.0,0.12987013308711196,0.9513888888888888,False
3.2,0.2285714285714286,0.8402777777777778,False
2.4,0.15384615008412508,0.9583333333333334,False
5.7,0.10898661726864609,0.9236111111111112,False
8.9,0.2079439289403885,0.9027777777777778,False
6.4,0.2529644345057924,0.9166666666666666,False
3.6,0.08333333186161374,0.8680555555555556,False
3.2,0.1088435388272284,0.9305555555555556,False
2.4,0.052631580708539884,0.9722222222222222,False
13.0,0.6310679494789652,0.9652777777777778,False
12.3,0.8092105364700435,0.8333333333333334,False
6.9,0.3066666666666667,0.8888888888888888,False
0.4,0.005917159896876767,0.9722222222222222,False
-0.0,-0.0,0.9166666666666666,True
2.4,0.15789473882342311,0.9375,False
25.2,0.5793103448275861,0.7569444444444444,False
7.3,0.39459459459459456,0.9513888888888888,False
2.0,0.12121212121212122,0.8333333333333334,False
2.0,0.045871561238404766,0.9375,False
1.6,0.04123711421292323,0.8611111111111112,False
5.6,0.3783783735020306,0.9305555555555556,False
7.7,0.534722236387524,0.9097222222222222,False
6.5,0.07926829268292683,0.9861111111111112,False
1.2,0.08823529164271378,0.9652777777777778,False
5.3,0.14171122416486182,0.9930555555555556,False
3.6,0.1348314568214143,0.9444444444444444,False
0.4,0.02777777851363761,0.8333333333333334,False
10.0,0.5681818058668092,0.8402777777777778,False
10.6,0.2636815870354954,0.9861111111111112,False
1.6,0.13333333333333333,0.9861111111111112,False
1.6,0.1025641000560834,0.9861111111111112,False
1.6,0.12903226203402435,0.9722222222222222,False
0.0,0.0,0.9444444444444444,True
13.0,0.35422342587871863,0.9027777777777778,False
3.2,0.09302325168772624,0.9236111111111112,False
8.9,0.2587209187564886,0.9166666666666666,False
4.4,0.31428571428571433,0.8263888888888888,False
6.1,0.25311202918860676,0.9236111111111112,False
14.6,0.4949152542372881,0.9305555555555556,False
1.2,0.09090909222269192,0.9097222222222222,False
3.2,0.2580645240680487,0.9722222222222222,False
1.2,0.07894736941171156,0.9652777777777778,False
20.4,1.02,0.875,False
11.0,0.2849741045294294,0.9722222222222222,False
-0.0,-0.0,0.9722222222222222,True
5.9,0.2153284701511421,0.8402777777777778,False
23.0,0.6865671641791045,0.8402777777777778,False
10.6,0.2560386379061846,0.9861111111111112,False
0.4,0.00980392175195585,0.8472222222222222,False
0.4,0.017467249199267544,0.9305555555555556,False
9.6,0.3287671146976232,0.9375,False
0.8,0.05095541463178179,0.9652777777777778,False
19.1,0.6945454545454546,0.9236111111111112,False
8.5,0.1619047619047619,0.9375,False
5.7,0.40714285714285714,0.9097222222222222,False
1.6,0.12903226203402435,0.8611111111111112,False
0.0,0.0,0.9513888888888888,True
-0.0,-0.0,0.9861111111111112,True
9.7,0.6928571428571428,0.9305555555555556,False
6.4,0.4,0.8055555555555556,False
17.8,0.5493826901761896,0.9236111111111112,False
18.4,0.9199999999999999,0.8611111111111112,False
