"Relative Time (Process)","polished-sweep-6 - _step","polished-sweep-6 - _step__MIN","polished-sweep-6 - _step__MAX","polished-sweep-6 - Regret","polished-sweep-6 - Regret__MIN","polished-sweep-6 - Regret__MAX","feasible-sweep-5 - _step","feasible-sweep-5 - _step__MIN","feasible-sweep-5 - _step__MAX","feasible-sweep-5 - Regret","feasible-sweep-5 - Regret__MIN","feasible-sweep-5 - Regret__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - Regret","sunny-sweep-4 - Regret__MIN","sunny-sweep-4 - Regret__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - Regret","earthy-sweep-3 - Regret__MIN","earthy-sweep-3 - Regret__MAX","light-sweep-2 - _step","light-sweep-2 - _step__MIN","light-sweep-2 - _step__MAX","light-sweep-2 - Regret","light-sweep-2 - Regret__MIN","light-sweep-2 - Regret__MAX"
"15.699732780456543","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.2250997894200424","0.2250997894200424","0.2250997894200424"
"16.104387760162354","","","","","","","162","162","162","0.2622497407038305","0.2622497407038305","0.2622497407038305","","","","","","","","","","","","","","","","","",""
"16.679893970489502","","","","","","","","","","","","","162","162","162","0.1082440204918495","0.1082440204918495","0.1082440204918495","","","","","","","","","","","",""
"16.69789433479309","","","","","","","","","","","","","","","","","","","162","162","162","0.17767231354251603","0.17767231354251603","0.17767231354251603","","","","","",""
"20.182417631149292","162","162","162","0.11764151239866222","0.11764151239866222","0.11764151239866222","","","","","","","","","","","","","","","","","","","","","","","",""
"22.554457187652588","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.10092089134707571","0.10092089134707571","0.10092089134707571"
"22.831939935684204","","","","","","","484","484","484","0.10418958418422795","0.10418958418422795","0.10418958418422795","","","","","","","","","","","","","","","","","",""
"23.170098066329956","","","","","","","","","","","","","","","","","","","484","484","484","0.09755790929346714","0.09755790929346714","0.09755790929346714","","","","","",""
"23.528466939926147","","","","","","","","","","","","","484","484","484","0.09378634063521454","0.09378634063521454","0.09378634063521454","","","","","","","","","","","",""
"27.276785850524902","484","484","484","0.10280667567620201","0.10280667567620201","0.10280667567620201","","","","","","","","","","","","","","","","","","","","","","","",""
