"Relative Time (Process)","effortless-sweep-6 - _step","effortless-sweep-6 - _step__MIN","effortless-sweep-6 - _step__MAX","effortless-sweep-6 - Regret","effortless-sweep-6 - Regret__MIN","effortless-sweep-6 - Regret__MAX","sparkling-sweep-5 - _step","sparkling-sweep-5 - _step__MIN","sparkling-sweep-5 - _step__MAX","sparkling-sweep-5 - Regret","sparkling-sweep-5 - Regret__MIN","sparkling-sweep-5 - Regret__MAX","leafy-sweep-4 - _step","leafy-sweep-4 - _step__MIN","leafy-sweep-4 - _step__MAX","leafy-sweep-4 - Regret","leafy-sweep-4 - Regret__MIN","leafy-sweep-4 - Regret__MAX","eager-sweep-3 - _step","eager-sweep-3 - _step__MIN","eager-sweep-3 - _step__MAX","eager-sweep-3 - Regret","eager-sweep-3 - Regret__MIN","eager-sweep-3 - Regret__MAX","swift-sweep-2 - _step","swift-sweep-2 - _step__MIN","swift-sweep-2 - _step__MAX","swift-sweep-2 - Regret","swift-sweep-2 - Regret__MIN","swift-sweep-2 - Regret__MAX"
"16.279314279556274","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.2180280981858188","0.2180280981858188","0.2180280981858188"
"18.142667055130005","162","162","162","0.09859509057416864","0.09859509057416864","0.09859509057416864","","","","","","","","","","","","","","","","","","","","","","","",""
"21.898891925811768","","","","","","","","","","","","","162","162","162","0.0969293145170917","0.0969293145170917","0.0969293145170917","","","","","","","","","","","",""
"22.622430324554443","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.11358707609104067","0.11358707609104067","0.11358707609104067"
"23.603736877441406","","","","","","","","","","","","","","","","","","","162","162","162","0.18373825313453895","0.18373825313453895","0.18373825313453895","","","","","",""
"26.502917528152466","484","484","484","0.09296916742592648","0.09296916742592648","0.09296916742592648","","","","","","","","","","","","","","","","","","","","","","","",""
"26.602432012557983","","","","","","","162","162","162","0.26344407077894383","0.26344407077894383","0.26344407077894383","","","","","","","","","","","","","","","","","",""
"29.35319209098816","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.09259201056010123","0.09259201056010123","0.09259201056010123"
"30.251407146453857","","","","","","","","","","","","","484","484","484","0.09048621805924353","0.09048621805924353","0.09048621805924353","","","","","","","","","","","",""
"31.636943817138672","","","","","","","","","","","","","","","","","","","484","484","484","0.09293773768710771","0.09293773768710771","0.09293773768710771","","","","","",""
"34.484408140182495","806","806","806","0.08706037652799742","0.08706037652799742","0.08706037652799742","","","","","","","","","","","","","","","","","","","","","","","",""
"35.64039444923401","","","","","","","484","484","484","0.10346670019139621","0.10346670019139621","0.10346670019139621","","","","","","","","","","","","","","","","","",""
"36.26614832878113","","","","","","","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.09193198604490702","0.09193198604490702","0.09193198604490702"
"38.6552939414978","","","","","","","","","","","","","806","806","806","0.09045478832042475","0.09045478832042475","0.09045478832042475","","","","","","","","","","","",""
"39.914931774139404","","","","","","","","","","","","","","","","","","","806","806","806","0.08718609548327251","0.08718609548327251","0.08718609548327251","","","","","",""
