True SPO,Unamb SPO,Elapsed,Epochs
0.021978311453329347,0.02197831145332936,6826.36715054512,100.0
0.02466511034768182,0.02466511034768182,6549.0258321762085,100.0
0.02222050311495212,0.02222050311495213,6713.04247045517,100.0
0.025888839346040388,0.025888839346040363,6993.769078969955,100.0
0.024512405618757113,0.024512405618757113,7508.045907735825,100.0
0.022338661816022447,0.022338661816022454,7613.365988731384,100.0
0.023200079469967484,0.023200079469967477,6637.0473890304565,100.0
0.02110327420639438,0.021103274206394372,7139.758182287216,100.0
0.024124824606193678,0.024124824606193678,7796.0406193733215,100.0
0.016198268815899742,0.01619826881589968,7795.401613950729,100.0
