True SPO,Unamb SPO,Elapsed,Epochs
0.00329251111394222,0.003292511113942238,3405.4658472537994,100.0
0.00371445738508903,0.003714457385089031,3364.69486784935,100.0
0.004349467405783952,0.004349467405783975,3242.646231651306,100.0
0.0034889794949535305,0.003488979494953531,3234.4420766830444,100.0
0.00363408025275714,0.003634080252757139,3203.9523601531982,100.0
0.0036952627977562204,0.0036952627977562195,3184.889321088791,100.0
0.0039270128667743915,0.003927012866774393,3212.2494130134583,100.0
0.004300823874812797,0.004300823874812802,3184.157305955887,100.0
0.004676794393720384,0.004676794393720383,3207.356633424759,100.0
0.003148234328034055,0.003148234328034052,3223.5381116867065,100.0
