True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.053777092943997906,0.05377710057592942,282.82557421875,485.72751021385193,4.0
0.06321215361288486,0.06321216284866779,247.4241887207031,490.2124330997467,4.0
0.05747764269174746,0.05747764606034602,252.69743212890626,486.0174744129181,4.0
0.06614995472413836,0.06614995929096737,252.91586560058593,479.3080744743347,4.0
0.06662294780480865,0.06662295670471578,295.8436062011719,478.77003049850464,4.0
0.05706019132175561,0.05706020023001313,251.52224853515625,489.89455127716064,4.0
0.05927602746933067,0.059276033867618726,246.90063403320312,481.39495372772217,4.0
0.055363262228931086,0.05536326812788033,246.96004528808595,488.7704989910126,4.0
0.06392880373901563,0.06392881323903234,304.3974670410156,482.27261877059937,4.0
0.055377373552005595,0.05537738046282966,240.70085668945313,485.583034992218,4.0
