True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.0008921294533392,0.000892160884706,0.1732613749504089,169.6436324119568,4.0
0.0005409873095033,0.0005410180229775,0.1663191049098968,168.03433871269226,4.0
0.0009526123944111,0.000952638928677,0.1840377297401428,173.9264941215515,4.0
0.0007910326592779,0.0007910682978186,0.2043110995292663,176.10832929611206,4.0
0.0006620701947699,0.0006620937091947,0.1676944751739502,169.5624463558197,4.0
0.0008437288840396,0.0008437616256252,0.1790286602973938,168.40372490882874,4.0
0.0005773761309555,0.0005773999651022,0.1572126449346542,167.13091850280762,4.0
0.000658482159506759,0.0006585109423168621,0.1782433409690857,132.21553540229797,4.0
0.0005178689901391008,0.0005178933599655443,0.16254132294654847,134.96075534820557,4.0
0.0006206282997482526,0.0006206579739629969,0.17214664244651795,131.95231699943542,4.0
