True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.23559620658493444,0.23556235055670444,0.1541666843768323,3059.0657675266266,0.0
0.21828977334748348,0.21830373975294023,0.147121240145132,2999.9625544548035,0.0
0.228116692066442,0.22811979516518055,0.1437507166349439,3000.181480407715,0.0
0.22965402392447964,0.22965668121416863,0.14121545442957273,2999.6770389080048,0.0
0.23155584235011228,0.23155729327880317,0.15823177842980451,3000.0771973133087,0.0
0.23468843647098292,0.23469013728383087,0.14253968755134203,2999.6314606666565,0.0
0.20353686617502936,0.20353793573932333,0.1441411211039688,2999.8453092575073,0.0
0.20604056572584922,0.20604254380957057,0.1470678706339594,2999.4956061840057,0.0
0.22397600137540633,0.22397992249864412,0.14858960969117138,2994.9795410633087,0.0
0.20622143827005346,0.20639289885281642,0.1436405337424662,2999.8279304504395,0.0
