True SPO,Unamb SPO,Elapsed,Epochs
0.2009869760516044,0.20116666612995843,128.0293972492218,1000.0
0.20193017842390346,0.2022129805833065,127.4143922328949,1000.0
0.2153030425322013,0.21552524830540085,124.63821506500244,1000.0
0.20421012671696456,0.20453176658713262,125.01452565193176,1000.0
0.21642026318800425,0.21670583526381934,130.06324815750122,1000.0
0.203690817746249,0.2039718363923972,130.48240542411804,1000.0
0.21167069375839728,0.21203526861372643,128.84769678115845,1000.0
0.2267625867439056,0.22706945362311126,128.3172948360443,1000.0
0.22037416850739386,0.22080235422987812,127.33006024360657,1000.0
0.20579528232751526,0.20605273858730058,130.34423828125,1000.0
