True SPO,Unamb SPO,Elapsed,Epochs
0.12312517104180247,0.12312517104180243,0.02774667739868164,0.0
0.11104042514957072,0.11104042514957072,0.018372297286987305,0.0
0.12113736359050951,0.12113736359050951,0.01941084861755371,0.0
0.10177976974134519,0.10177976974134514,0.017767906188964844,0.0
0.12131516326948254,0.12131516326948248,0.017958879470825195,0.0
0.12113736359050951,0.12113736359050951,0.017774105072021484,0.0
0.10177976974134519,0.10177976974134514,0.017701387405395508,0.0
0.12131516326948254,0.12131516326948248,0.018619060516357422,0.0
0.12113736359050951,0.12113736359050951,0.017595291137695312,0.0
0.10177976974134519,0.10177976974134514,0.017673254013061523,0.0
