"Relative Time (Process)","pleasant-sweep-6 - _step","pleasant-sweep-6 - _step__MIN","pleasant-sweep-6 - _step__MAX","pleasant-sweep-6 - Regret","pleasant-sweep-6 - Regret__MIN","pleasant-sweep-6 - Regret__MAX","morning-sweep-5 - _step","morning-sweep-5 - _step__MIN","morning-sweep-5 - _step__MAX","morning-sweep-5 - Regret","morning-sweep-5 - Regret__MIN","morning-sweep-5 - Regret__MAX","cosmic-sweep-4 - _step","cosmic-sweep-4 - _step__MIN","cosmic-sweep-4 - _step__MAX","cosmic-sweep-4 - Regret","cosmic-sweep-4 - Regret__MIN","cosmic-sweep-4 - Regret__MAX","swept-sweep-3 - _step","swept-sweep-3 - _step__MIN","swept-sweep-3 - _step__MAX","swept-sweep-3 - Regret","swept-sweep-3 - Regret__MIN","swept-sweep-3 - Regret__MAX","still-sweep-2 - _step","still-sweep-2 - _step__MIN","still-sweep-2 - _step__MAX","still-sweep-2 - Regret","still-sweep-2 - Regret__MIN","still-sweep-2 - Regret__MAX"
"10.841952323913574","","","","","","","162","162","162","0.12579456599930383","0.12579456599930383","0.12579456599930383","","","","","","","","","","","","","","","","","",""
"10.912110567092896","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.11134335560631002","0.11134335560631002","0.11134335560631002"
"11.218172311782837","","","","","","","","","","","","","","","","","","","162","162","162","0.09402970358822195","0.09402970358822195","0.09402970358822195","","","","","",""
"13.187552452087402","162","162","162","0.09760955183358269","0.09760955183358269","0.09760955183358269","","","","","","","","","","","","","","","","","","","","","","","",""
"13.929039239883423","","","","","","","","","","","","","162","162","162","0.08433619832249734","0.08433619832249734","0.08433619832249734","","","","","","","","","","","",""
"14.818557500839233","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.07274670088858808","0.07274670088858808","0.07274670088858808"
"14.914794683456421","","","","","","","484","484","484","0.09465275777952405","0.09465275777952405","0.09465275777952405","","","","","","","","","","","","","","","","","",""
"15.15867567062378","","","","","","","","","","","","","","","","","","","484","484","484","0.07509250602831352","0.07509250602831352","0.07509250602831352","","","","","",""
"17.216259956359863","484","484","484","0.08470023156103405","0.08470023156103405","0.08470023156103405","","","","","","","","","","","","","","","","","","","","","","","",""
"17.852309465408325","","","","","","","","","","","","","484","484","484","0.0742104140353695","0.0742104140353695","0.0742104140353695","","","","","","","","","","","",""
"18.698736667633057","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.07489218388197987","0.07489218388197987","0.07489218388197987"
"18.96876287460327","","","","","","","806","806","806","0.08105301283525364","0.08105301283525364","0.08105301283525364","","","","","","","","","","","","","","","","","",""
"19.18057155609131","","","","","","","","","","","","","","","","","","","806","806","806","0.07952852057893695","0.07952852057893695","0.07952852057893695","","","","","",""
"21.218442916870117","806","806","806","0.087516790500684","0.087516790500684","0.087516790500684","","","","","","","","","","","","","","","","","","","","","","","",""
"21.823763132095337","","","","","","","","","","","","","806","806","806","0.07468545702070448","0.07468545702070448","0.07468545702070448","","","","","","","","","","","",""
"22.559662103652954","","","","","","","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.07282160478418558","0.07282160478418558","0.07282160478418558"
"22.87535572052002","","","","","","","1128","1128","1128","0.08204474433503689","0.08204474433503689","0.08204474433503689","","","","","","","","","","","","","","","","","",""
"23.102326154708862","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.07685284598685213","0.07685284598685213","0.07685284598685213","","","","","",""
"25.160009384155273","1128","1128","1128","0.08113220028762579","0.08113220028762579","0.08113220028762579","","","","","","","","","","","","","","","","","","","","","","","",""
"25.718149423599243","","","","","","","","","","","","","1128","1128","1128","0.08144206564917268","0.08144206564917268","0.08144206564917268","","","","","","","","","","","",""
