"Relative Time (Process)","northern-sweep-6 - _step","northern-sweep-6 - _step__MIN","northern-sweep-6 - _step__MAX","northern-sweep-6 - Regret","northern-sweep-6 - Regret__MIN","northern-sweep-6 - Regret__MAX","peach-sweep-5 - _step","peach-sweep-5 - _step__MIN","peach-sweep-5 - _step__MAX","peach-sweep-5 - Regret","peach-sweep-5 - Regret__MIN","peach-sweep-5 - Regret__MAX","legendary-sweep-4 - _step","legendary-sweep-4 - _step__MIN","legendary-sweep-4 - _step__MAX","legendary-sweep-4 - Regret","legendary-sweep-4 - Regret__MIN","legendary-sweep-4 - Regret__MAX","jumping-sweep-3 - _step","jumping-sweep-3 - _step__MIN","jumping-sweep-3 - _step__MAX","jumping-sweep-3 - Regret","jumping-sweep-3 - Regret__MIN","jumping-sweep-3 - Regret__MAX","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - Regret","snowy-sweep-2 - Regret__MIN","snowy-sweep-2 - Regret__MAX"
"11.414419412612915","162","162","162","0.10023470838218551","0.10023470838218551","0.10023470838218551","","","","","","","","","","","","","","","","","","","","","","","",""
"12.636204957962036","","","","","","","","","","","","","","","","","","","162","162","162","0.14679182829052978","0.14679182829052978","0.14679182829052978","","","","","",""
"15.095123529434204","","","","","","","","","","","","","162","162","162","0.09802896027441382","0.09802896027441382","0.09802896027441382","","","","","","","","","","","",""
"15.347915172576904","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.15243450890847507","0.15243450890847507","0.15243450890847507"
"15.412287473678589","484","484","484","0.08806929661740524","0.08806929661740524","0.08806929661740524","","","","","","","","","","","","","","","","","","","","","","","",""
"16.10095715522766","","","","","","","162","162","162","0.1926175285494323","0.1926175285494323","0.1926175285494323","","","","","","","","","","","","","","","","","",""
"16.55452251434326","","","","","","","","","","","","","","","","","","","484","484","484","0.08734646599819823","0.08734646599819823","0.08734646599819823","","","","","",""
"19.071457147598267","","","","","","","","","","","","","484","484","484","0.07372439867602325","0.07372439867602325","0.07372439867602325","","","","","","","","","","","",""
"19.112269639968872","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.08283958419316116","0.08283958419316116","0.08283958419316116"
"19.431692123413086","806","806","806","0.08948425508466523","0.08948425508466523","0.08948425508466523","","","","","","","","","","","","","","","","","","","","","","","",""
"19.938003063201904","","","","","","","484","484","484","0.10831220703389449","0.10831220703389449","0.10831220703389449","","","","","","","","","","","","","","","","","",""
"20.393872022628784","","","","","","","","","","","","","","","","","","","806","806","806","0.07710013022777625","0.07710013022777625","0.07710013022777625","","","","","",""
"23.033422708511353","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.07837354876051132","0.07837354876051132","0.07837354876051132"
