True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.1156668705172745,0.1156668705172745,41.37704711914063,371.6522192955017,4.0
0.1754083204925257,0.1754083204925257,47.243493896484374,374.9301519393921,4.0
0.11663998697637724,0.11663998697637724,40.43556118774414,380.9129858016968,4.0
0.18765787463964148,0.18765787463964148,57.68366381835938,405.7949752807617,4.0
0.19934706613064643,0.19934706613064643,62.75195532226562,397.98316049575806,4.0
0.1924808513120725,0.1924808513120725,65.8802265625,423.46681547164917,4.0
0.19033391915585726,0.19033391915585726,63.24621215820312,408.5724895000458,4.0
0.19568720517946825,0.19568720517946825,62.19298623657227,405.51955795288086,4.0
0.14004086683702177,0.14004086683702177,56.20834460449219,413.98354172706604,4.0
0.16711460063364905,0.16711460063364905,51.1006623840332,387.65064215660095,4.0
