True SPO,Unamb SPO,Elapsed,Epochs
0.17836597647643604,0.17836597647643604,0.14122414588928223,0.0
0.1510625425337748,0.1510625425337748,0.03276562690734863,0.0
0.16601335066918071,0.16601335066918071,0.02911686897277832,0.0
0.18183672215759536,0.18183672215759536,0.032184600830078125,0.0
0.10417362560305023,0.10417362560305023,0.030360937118530273,0.0
0.1708973951498742,0.17089739515246677,0.037188053131103516,0.0
0.12501949288029449,0.12501949288029449,0.029561281204223633,0.0
0.17736060219051064,0.17736060219051064,0.03126072883605957,0.0
0.1766852590046203,0.1766852590046203,0.033315420150756836,0.0
0.1778936874674,0.1778936874674,0.028633832931518555,0.0
