True SPO,Unamb SPO,Elapsed,Epochs
0.08261967359581142,0.08261967608846281,122.00067353248596,30.0
0.06845863682338782,0.06845863912549462,121.05836057662964,30.0
0.061757817998874434,0.06175782104623795,124.8202440738678,30.0
0.05763338931566132,0.05763339479660637,124.46433162689209,30.0
0.062050242700638934,0.06205024529936133,121.76797580718994,30.0
0.06590962654899397,0.06590962952531353,119.8996000289917,30.0
0.08932642326202114,0.08939430445366178,118.5745837688446,30.0
0.10442997367861453,0.10442997530322672,123.345947265625,30.0
0.061382716290921874,0.06138271803467562,122.94956755638123,30.0
0.0737805069240642,0.07378050985925685,124.92542624473572,30.0
