True SPO,Unamb SPO,Elapsed,Epochs
0.0778058510975558,0.077805851712858,256.97966408729553,30.0
0.073465721255994,0.07346572010551257,259.2560455799103,30.0
0.0717125415430657,0.07171254342848739,260.92393589019775,30.0
0.06060620780155587,0.0606062086565391,272.87072682380676,30.0
0.06598019859175999,0.06598019885998795,258.4786252975464,30.0
0.07614249475849252,0.07614249640331101,253.09443736076355,30.0
0.06130892551665832,0.06130892605255592,278.0279905796051,30.0
0.06793223172132574,0.06793222973195938,261.83855628967285,30.0
0.054873221617155694,0.05487322197182139,257.73169136047363,30.0
0.07680861323808003,0.07680861377593763,256.744980096817,30.0
