True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.10908322077236729,0.10908350551377669,0.16931678013726287,0.3679840564727783,0.0
0.10567914499452886,0.10567926745138574,0.20399927691713893,0.31062746047973633,0.0
0.11742224278383753,0.117422463541092,0.16206247338705052,0.31392669677734375,0.0
0.11716520341235377,0.11716534139115765,0.17677703392706676,0.3136606216430664,0.0
0.11442789635230746,0.11442806084830168,0.17896141590010237,0.31510186195373535,0.0
0.12010978592733723,0.1201100092232725,0.20428247603532884,0.3125603199005127,0.0
0.10632020649624356,0.10632044623957763,0.17084519848268637,0.311474084854126,0.0
0.10550391449893484,0.10550415522043931,0.1715176482154488,0.3171572685241699,0.0
0.12044110539135978,0.12044124755395978,0.18628985958591587,0.31171393394470215,0.0
0.11179269056948356,0.11179290575031986,0.19196214510962462,0.3216543197631836,0.0
