True SPO,Unamb SPO,Elapsed,Epochs
0.16866771875196593,0.16866771875196593,23.712308406829834,30.0
0.1540780628416004,0.15407806284160033,23.580585479736328,30.0
0.17079713498097548,0.17079713498097548,23.18735694885254,30.0
0.20937703389192325,0.20937703389192325,23.143167734146118,30.0
0.13697473307847732,0.13697473307847735,23.602564573287964,30.0
0.1338079293845608,0.1338079293845608,23.69832968711853,30.0
0.155313190552728,0.155313190552728,23.200987100601196,30.0
0.13378847349721631,0.13378847349721631,24.54667353630066,30.0
0.11163422108116652,0.11163422108116652,23.332753658294678,30.0
0.1538414988073451,0.1538414988073451,23.41741371154785,30.0
