"Relative Time (Process)","misunderstood-sweep-6 - _step","misunderstood-sweep-6 - _step__MIN","misunderstood-sweep-6 - _step__MAX","misunderstood-sweep-6 - Regret","misunderstood-sweep-6 - Regret__MIN","misunderstood-sweep-6 - Regret__MAX","wandering-sweep-5 - _step","wandering-sweep-5 - _step__MIN","wandering-sweep-5 - _step__MAX","wandering-sweep-5 - Regret","wandering-sweep-5 - Regret__MIN","wandering-sweep-5 - Regret__MAX","summer-sweep-4 - _step","summer-sweep-4 - _step__MIN","summer-sweep-4 - _step__MAX","summer-sweep-4 - Regret","summer-sweep-4 - Regret__MIN","summer-sweep-4 - Regret__MAX","crisp-sweep-3 - _step","crisp-sweep-3 - _step__MIN","crisp-sweep-3 - _step__MAX","crisp-sweep-3 - Regret","crisp-sweep-3 - Regret__MIN","crisp-sweep-3 - Regret__MAX","dashing-sweep-2 - _step","dashing-sweep-2 - _step__MIN","dashing-sweep-2 - _step__MAX","dashing-sweep-2 - Regret","dashing-sweep-2 - Regret__MIN","dashing-sweep-2 - Regret__MAX"
"36.701022148132324","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.43294999284678404","0.43294999284678404","0.43294999284678404"
"38.16502928733826","","","","","","","","","","","","","","","","","","","162","162","162","0.7497873439984322","0.7497873439984322","0.7497873439984322","","","","","",""
"39.31251859664917","","","","","","","162","162","162","1.0966263792286692","1.0966263792286692","1.0966263792286692","","","","","","","","","","","","","","","","","",""
"40.2056839466095","162","162","162","0.18887558123505596","0.18887558123505596","0.18887558123505596","","","","","","","","","","","","","","","","","","","","","","","",""
"40.70259690284729","","","","","","","","","","","","","162","162","162","0.17394391018369876","0.17394391018369876","0.17394391018369876","","","","","","","","","","","",""
"53.50599193572998","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.12982562137735268","0.12982562137735268","0.12982562137735268"
"55.513288259506226","","","","","","","","","","","","","","","","","","","484","484","484","0.176251216281859","0.176251216281859","0.176251216281859","","","","","",""
"57.08657455444336","","","","","","","484","484","484","0.3041989622282541","0.3041989622282541","0.3041989622282541","","","","","","","","","","","","","","","","","",""
"57.195698738098145","484","484","484","0.08695998348963135","0.08695998348963135","0.08695998348963135","","","","","","","","","","","","","","","","","","","","","","","",""
"58.211461544036865","","","","","","","","","","","","","484","484","484","0.07418076690079793","0.07418076690079793","0.07418076690079793","","","","","","","","","","","",""
"70.44458508491516","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.09099506423026354","0.09099506423026354","0.09099506423026354"
"72.7688159942627","","","","","","","","","","","","","","","","","","","806","806","806","0.11477802719805429","0.11477802719805429","0.11477802719805429","","","","","",""
"74.33288240432739","806","806","806","0.08111238718633401","0.08111238718633401","0.08111238718633401","","","","","","","","","","","","","","","","","","","","","","","",""
"74.75019073486328","","","","","","","806","806","806","0.19321458902660008","0.19321458902660008","0.19321458902660008","","","","","","","","","","","","","","","","","",""
"75.67615985870361","","","","","","","","","","","","","806","806","806","0.06838569644559142","0.06838569644559142","0.06838569644559142","","","","","","","","","","","",""
"87.87879586219788","","","","","","","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.07404483766718688","0.07404483766718688","0.07404483766718688"
"90.30560445785522","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.09389267962224597","0.09389267962224597","0.09389267962224597","","","","","",""
