"Relative Time (Process)","desert-sweep-6 - _step","desert-sweep-6 - _step__MIN","desert-sweep-6 - _step__MAX","desert-sweep-6 - Regret","desert-sweep-6 - Regret__MIN","desert-sweep-6 - Regret__MAX","robust-sweep-5 - _step","robust-sweep-5 - _step__MIN","robust-sweep-5 - _step__MAX","robust-sweep-5 - Regret","robust-sweep-5 - Regret__MIN","robust-sweep-5 - Regret__MAX","golden-sweep-4 - _step","golden-sweep-4 - _step__MIN","golden-sweep-4 - _step__MAX","golden-sweep-4 - Regret","golden-sweep-4 - Regret__MIN","golden-sweep-4 - Regret__MAX","twilight-sweep-3 - _step","twilight-sweep-3 - _step__MIN","twilight-sweep-3 - _step__MAX","twilight-sweep-3 - Regret","twilight-sweep-3 - Regret__MIN","twilight-sweep-3 - Regret__MAX","solar-sweep-2 - _step","solar-sweep-2 - _step__MIN","solar-sweep-2 - _step__MAX","solar-sweep-2 - Regret","solar-sweep-2 - Regret__MIN","solar-sweep-2 - Regret__MAX"
"39.45825433731079","","","","","","","","","","","","","","","","","","","162","162","162","1.6581656999958168","1.6581656999958168","1.6581656999958168","","","","","",""
"41.14084482192993","","","","","","","162","162","162","1.7581913871475339","1.7581913871475339","1.7581913871475339","","","","","","","","","","","","","","","","","",""
"41.20924425125122","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.15020732763071654","0.15020732763071654","0.15020732763071654"
"44.12864351272583","","","","","","","","","","","","","162","162","162","1.4889814264960972","1.4889814264960972","1.4889814264960972","","","","","","","","","","","",""
"46.206666231155396","162","162","162","1.5774401815813108","1.5774401815813108","1.5774401815813108","","","","","","","","","","","","","","","","","","","","","","","",""
"64.07090163230896","","","","","","","484","484","484","1.8810890141358858","1.8810890141358858","1.8810890141358858","","","","","","","","","","","","","","","","","",""
"65.73968076705933","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.12158760089334489","0.12158760089334489","0.12158760089334489"
"66.63520216941833","","","","","","","","","","","","","","","","","","","484","484","484","1.7129484408394124","1.7129484408394124","1.7129484408394124","","","","","",""
"67.40758967399597","","","","","","","","","","","","","484","484","484","1.665695579963126","1.665695579963126","1.665695579963126","","","","","","","","","","","",""
"69.37410688400269","484","484","484","1.873278427929134","1.873278427929134","1.873278427929134","","","","","","","","","","","","","","","","","","","","","","","",""
"87.38079071044922","","","","","","","806","806","806","1.7726604777566282","1.7726604777566282","1.7726604777566282","","","","","","","","","","","","","","","","","",""
"89.58769130706787","","","","","","","","","","","","","806","806","806","1.7953706660656257","1.7953706660656257","1.7953706660656257","","","","","","","","","","","",""
"90.61837315559387","","","","","","","","","","","","","","","","","","","806","806","806","1.7437310464690077","1.7437310464690077","1.7437310464690077","","","","","",""
"90.75902152061462","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.11667300482001393","0.11667300482001393","0.11667300482001393"
"92.15867209434509","806","806","806","1.766875676289878","1.766875676289878","1.766875676289878","","","","","","","","","","","","","","","","","","","","","","","",""
"109.75473356246948","","","","","","","1128","1128","1128","1.8822711607342493","1.8822711607342493","1.8822711607342493","","","","","","","","","","","","","","","","","",""
"112.16912627220154","","","","","","","","","","","","","1128","1128","1128","1.8509885802405504","1.8509885802405504","1.8509885802405504","","","","","","","","","","","",""
"114.42907786369324","","","","","","","","","","","","","","","","","","","1128","1128","1128","1.5746428425094294","1.5746428425094294","1.5746428425094294","","","","","",""
"114.89251446723938","1128","1128","1128","1.819654649231889","1.819654649231889","1.819654649231889","","","","","","","","","","","","","","","","","","","","","","","",""
"115.1763904094696","","","","","","","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.10474546615204573","0.10474546615204573","0.10474546615204573"
"133.33680391311646","","","","","","","1450","1450","1450","1.5231561242929874","1.5231561242929874","1.5231561242929874","","","","","","","","","","","","","","","","","",""
