"Name","net","Regret"
"sunny-sweep-5","[64,64]","0.2043682623807576"
"genial-sweep-4","[16,16]","0.1003703395438488"
"summer-sweep-3","[64]","0.09391858119972402"
"lemon-sweep-2","[16]","0.082539972664111"
"sweet-sweep-1","[]","0.06925958897474187"
