True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.3619809026673645,0.3619809109039095,338.39064099121094,400.2012631893158,200.0
0.4351619226753285,0.4351619297145403,259.60912255859375,398.7314212322235,200.0
0.5658500755791518,0.5658500832796721,303.50239672851563,403.53125405311584,200.0
0.4429117464320964,0.4429117689129293,304.2792861328125,398.5947663784027,200.0
0.5345903371703563,0.5345903419510184,406.0899711914063,436.25856351852417,200.0
0.3442193267438964,0.344219334686208,302.7795283203125,383.1486625671387,200.0
0.389559517895808,0.38936266723534796,353.7183999023438,400.9926471710205,200.0
0.44949229082419545,0.4494922925624627,276.73000061035157,427.97449564933777,200.0
0.49920483675349236,0.49920484515371144,375.65771447753906,399.35920548439026,200.0
0.4458914029798026,0.44589140741428374,301.706681640625,419.3095827102661,200.0
