True SPO,Unamb SPO,Elapsed,Epochs
0.1363349799987925,0.1363350255893507,0.22704792022705078,0.0
0.1390309026365687,0.13908011441348633,0.16141343116760254,0.0
0.1433066660118061,0.14325598406934753,0.15538287162780762,0.0
0.12221904212468916,0.12221909155990626,0.15782880783081055,0.0
0.13476562412742732,0.13476566114965413,0.15344524383544922,0.0
0.1299598527876617,0.1299599014836491,0.15169548988342285,0.0
0.13198473735407362,0.13198178471969524,0.15211939811706543,0.0
0.12120251664340054,0.12120257055394013,0.17449045181274414,0.0
0.11810258776835389,0.11810262914755355,0.15152239799499512,0.0
0.13198473735407362,0.13198178471969524,0.17595148086547852,0.0
