True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.2087652826534776,0.20876528725606627,152.41258347507258,0.23078274726867676,0.0
0.21124228758352243,0.21124229027406477,112.23979545953244,0.18806695938110352,0.0
0.2231516656436882,0.22315166784288246,138.71269953155803,0.19896793365478516,0.0
0.2597164346260058,0.2597164391191774,139.72823850719138,0.2054758071899414,0.0
0.29078935330981853,0.2907893573472416,183.44141802155445,0.2097456455230713,0.0
0.2152537112671352,0.21525371556799883,129.80841463590556,0.19616961479187012,0.0
0.21636292330678272,0.21636292788914147,183.89868862945002,0.20157623291015625,0.0
0.24675555912623975,0.2467555617095994,117.89837552186286,0.21164250373840332,0.0
0.21871166920692833,0.2187116741811351,179.77936756704037,0.18863916397094727,0.0
0.20458893578810444,0.20458893932310596,127.31029306154146,0.19512462615966797,0.0
